week,staff_id,staff_name,role,service,present
29,STF-2c8eaa98,Judy Baker,doctor,emergency,1
41,STF-3a9a90fd,Ethan Adams,nursing_assistant,emergency,1
38,STF-997af03e,Jessica Smith,nursing_assistant,ICU,0
26,STF-7510a5e3,Sandra Aguilar,nurse,surgery,0
35,STF-997af03e,Sandra Aguilar,nurse,ICU,1
33,STF-6c29c37d,Victoria Garcia,doctor,general_medicine,0
25,STF-8c3d09d0,Steve Sanchez,nursing_assistant,general_medicine,1
50,STF-ec102fe1,Jessica Callahan,nurse,general_medicine,1
44,STF-abfdc900,Diana May,nurse,ICU,1
52,STF-36140a6a,Holly Wood,nurse,emergency,0
32,STF-e72deb85,Michael Evans,nursing_assistant,ICU,1
33,STF-e2bbe735,Gerald Hensley,nurse,emergency,0
30,STF-d114bde8,Abigail Shaffer,nurse,emergency,1
15,STF-935c51f3,Denise Jacobs,nurse,general_medicine,1
45,STF-03fbeddc,Cassandra Gaines,nurse,emergency,1
50,STF-cf9225db,Crystal Johnson,nurse,ICU,0
27,STF-67d3ac43,Richard Henson,nursing_assistant,ICU,1
21,STF-038ff4c9,Michael Evans,nursing_assistant,surgery,1
3,STF-727e4277,Michael Lewis,nursing_assistant,surgery,0
29,STF-c8ef6bb9,Brittany Farmer,nursing_assistant,emergency,0
47,STF-ea97e797,Sharon Cherry,nursing_assistant,ICU,1
29,STF-6c29c37d,Timothy Duncan,nursing_assistant,emergency,1
12,STF-dc6ad834,Brittney Phillips,nursing_assistant,surgery,0
38,STF-dc6ad834,Lisa Barnes,nurse,general_medicine,1
16,STF-836e90d0,Diana May,nursing_assistant,ICU,1
46,STF-4b388ef9,Joshua Blair,nursing_assistant,emergency,0
22,STF-2dfd271e,Kelly Donovan,nurse,emergency,1
15,STF-cf9225db,Diana May,nurse,ICU,1
13,STF-197d1927,Brian Rodriguez,nurse,general_medicine,1
25,STF-322e1cde,Lauren Daniels,nurse,emergency,1
26,STF-9045bfe7,Matthew Mcmillan,nurse,ICU,1
5,STF-997af03e,Anna Henderson,nurse,general_medicine,0
49,STF-a2ef0542,Zachary Ferrell,nurse,ICU,1
7,STF-a1420039,Amy Silva,nurse,emergency,0
45,STF-8a4df0f8,Matthew Foster,doctor,general_medicine,1
18,STF-bea9d5c9,Cristian Santos,nurse,emergency,0
30,STF-63bcaa58,Christina Walters,nurse,general_medicine,1
31,STF-4b388ef9,Shannon Jones,nurse,surgery,0
21,STF-ac9813b7,Michele Williams,nurse,emergency,1
29,STF-59afa180,Jordan Henderson,nurse,ICU,0
5,STF-dc6ad834,Angela Lopez,nurse,ICU,1
40,STF-9045bfe7,John Whitehead,nurse,ICU,0
26,STF-cf9225db,Crystal Johnson,nurse,ICU,1
26,STF-836e90d0,Garrett Lin,doctor,general_medicine,0
12,STF-064febb6,Justin Baker,doctor,ICU,1
26,STF-55594f66,Michael Lewis,nurse,surgery,0
15,STF-ea97e797,Sierra Johnson,nursing_assistant,surgery,1
44,STF-53629610,Brittany Farmer,nurse,surgery,0
33,STF-188cd855,Evelyn Galvan,nurse,ICU,0
49,STF-bfc199cf,Brent Jordan,doctor,ICU,0
35,STF-0f188974,Whitney Peters,nurse,general_medicine,0
52,STF-206b10dc,Anthony Humphrey,nurse,surgery,0
2,STF-11c84169,Anthony Humphrey,nurse,surgery,0
8,STF-ac9813b7,Jamie Arnold,nursing_assistant,emergency,1
33,STF-8c3d09d0,Shirley Suarez,nurse,emergency,0
50,STF-63bcaa58,Anna Henderson,nurse,surgery,0
33,STF-a373df11,Gabrielle Davis,nurse,emergency,0
17,STF-11c84169,Shane Henderson,nurse,general_medicine,1
46,STF-206b10dc,John Pierce,doctor,surgery,0
19,STF-7dfe6d32,Gina Moore,doctor,emergency,1
10,STF-2e0dd6e9,Angie Henderson,nurse,emergency,1
51,STF-05591498,William Herrera,nursing_assistant,ICU,1
13,STF-398a99e9,Anthony Rodriguez,nurse,emergency,1
51,STF-8c3d09d0,Shirley Suarez,nurse,ICU,0
5,STF-b4907958,Justin Baker,nurse,emergency,1
13,STF-7510a5e3,Richard Henson,nursing_assistant,general_medicine,0
23,STF-15db5d87,Shannon Walker,nursing_assistant,general_medicine,0
14,STF-9fdbaf6f,Shane Henderson,nursing_assistant,surgery,0
13,STF-4b388ef9,Shannon Jones,nurse,emergency,1
47,STF-bfc199cf,Mark Perez,nurse,surgery,0
3,STF-4b388ef9,Mark Perez,nurse,surgery,1
13,STF-d962d308,Sharon Cochran,nurse,general_medicine,0
32,STF-11c84169,Danny Morgan,nurse,surgery,1
50,STF-038ff4c9,Brian Rodriguez,nurse,general_medicine,1
7,STF-064febb6,Matthew Foster,nurse,general_medicine,0
15,STF-63bcaa58,Denise Jacobs,nurse,general_medicine,0
31,STF-05591498,Ashley Waller,nursing_assistant,general_medicine,0
30,STF-d114bde8,Abigail Shaffer,nurse,emergency,0
36,STF-23a8d4c5,Ethan Adams,doctor,emergency,0
7,STF-b0bc8d3f,Brian Ramirez,doctor,emergency,1
51,STF-ac9813b7,Dylan Miller,nurse,emergency,0
4,STF-ebbeb197,Gina Moore,nurse,emergency,0
50,STF-44cbfc17,Daniel Baker,nurse,general_medicine,1
40,STF-a1420039,Donald Wright,nurse,surgery,1
14,STF-0f188974,Brittney Phillips,nurse,general_medicine,1
17,STF-e0c7759c,Amy Silva,nursing_assistant,emergency,0
11,STF-a1420039,Amber Kidd,doctor,ICU,1
34,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
33,STF-197d1927,Mike Allen,nurse,general_medicine,0
20,STF-4f1df27e,Brittney Phillips,doctor,general_medicine,1
21,STF-53629610,Jessica Holmes,nurse,general_medicine,0
47,STF-b00ed3e2,Jeffrey Chandler,nurse,ICU,0
15,STF-63bcaa58,Christina Walters,nurse,surgery,1
45,STF-f37035ac,Dylan Miller,doctor,emergency,0
6,STF-8a885bae,Steve Sanchez,nurse,emergency,0
30,STF-4740993e,Ashley Waller,nurse,ICU,1
22,STF-ddd99f9e,Jeffrey Chandler,nursing_assistant,ICU,1
46,STF-e0c7759c,Lauren Daniels,nurse,general_medicine,1
31,STF-2a9c9bdb,Gerald Hensley,nurse,general_medicine,0
29,STF-d962d308,Sharon Cherry,nursing_assistant,ICU,0
12,STF-ada6b167,Jeffrey Chavez,doctor,surgery,1
31,STF-f398593d,Nathan Maldonado,doctor,surgery,1
24,STF-ed194945,Crystal Robinson,doctor,ICU,1
21,STF-9045bfe7,Stephen Mckee,nursing_assistant,general_medicine,0
46,STF-59afa180,Timothy Duncan,doctor,ICU,1
30,STF-15db5d87,Marc Moore,nursing_assistant,general_medicine,0
20,STF-f37035ac,Jamie Arnold,nursing_assistant,emergency,0
27,STF-59afa180,Amber Kidd,nurse,surgery,1
46,STF-9da1bed5,Michelle Harmon,nurse,ICU,1
22,STF-8a885bae,Megan Young,nursing_assistant,general_medicine,1
50,STF-dc6ad834,Amy Silva,doctor,general_medicine,0
45,STF-8b6412dc,Jordan Henderson,nurse,general_medicine,1
44,STF-935c51f3,Lisa Archer,doctor,ICU,0
29,STF-f37035ac,Brian Ramirez,doctor,surgery,1
30,STF-669a95d5,Erin Edwards,nurse,ICU,1
38,STF-4e69ee46,Lisa Hensley,doctor,emergency,0
42,STF-84efb3e5,Deborah Figueroa,nursing_assistant,surgery,1
1,STF-e15cfd51,Brian Ramirez,doctor,surgery,1
49,STF-5401ad3a,Deborah Figueroa,nursing_assistant,surgery,0
5,STF-cf0f00c3,Jessica Smith,nurse,ICU,1
13,STF-c8ef6bb9,Nathan Maldonado,nurse,emergency,0
21,STF-1c410c36,Paula Moreno,nurse,emergency,1
45,STF-bea9d5c9,Abigail Shaffer,nurse,emergency,1
28,STF-6c29c37d,Donald Wright,nurse,general_medicine,1
8,STF-ec102fe1,Whitney Peters,nursing_assistant,general_medicine,1
30,STF-8b6412dc,Connor West,nurse,surgery,1
16,STF-206b10dc,Eric Carney,nursing_assistant,emergency,1
18,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
13,STF-a4c9b3f0,Jeffrey Chavez,nurse,emergency,1
14,STF-8a4df0f8,Judy Baker,nurse,general_medicine,1
30,STF-d962d308,Sharon Cochran,nurse,ICU,0
45,STF-403052c0,Daniel Wagner,doctor,emergency,0
18,STF-b00ed3e2,Kenneth Scott,nurse,ICU,0
15,STF-e983db1d,Larry Dixon,doctor,ICU,0
30,STF-e0c7759c,Amber Kidd,nursing_assistant,emergency,1
35,STF-53629610,Timothy Duncan,nurse,emergency,1
50,STF-c8ef6bb9,Cassandra Gaines,nurse,emergency,1
6,STF-e9bd9766,Sharon Cherry,nurse,general_medicine,1
48,STF-4740993e,Ashley Waller,nurse,ICU,0
20,STF-1511492d,Evelyn Galvan,nurse,ICU,1
28,STF-8325689b,Jamie Arnold,doctor,emergency,1
37,STF-3a9a90fd,Matthew Foster,nurse,emergency,1
27,STF-d114bde8,Gabrielle Davis,nurse,emergency,0
46,STF-98fd6aad,Anna Henderson,doctor,ICU,1
30,STF-372284b1,Jessica Holmes,nurse,general_medicine,1
5,STF-36140a6a,Carla Gray,nurse,surgery,1
5,STF-8a42f5e7,Mike Allen,nursing_assistant,general_medicine,1
4,STF-8a42f5e7,Zachary Ferrell,nurse,general_medicine,1
34,STF-b13eeb99,Ethan Adams,nursing_assistant,emergency,1
33,STF-997af03e,Cameron Parker,nurse,ICU,0
41,STF-ddd99f9e,Larry Dixon,nurse,ICU,0
14,STF-fc210a9e,Danny Morgan,nurse,surgery,1
33,STF-4f1df27e,Tracy House,nurse,surgery,1
15,STF-63b9ca1d,John Daniel,nurse,surgery,1
27,STF-5e560b99,Angie Henderson,nurse,emergency,0
18,STF-e2bbe735,John Daniel,nurse,general_medicine,0
42,STF-63b9ca1d,Gerald Hensley,nurse,surgery,0
41,STF-ac9813b7,Monica Herrera,doctor,emergency,0
27,STF-6c29c37d,Brent Jordan,nurse,general_medicine,0
24,STF-8b6412dc,Brittney Phillips,nurse,general_medicine,1
14,STF-61a51c45,Megan Young,nursing_assistant,general_medicine,1
51,STF-6a7114cb,April Frost,nursing_assistant,general_medicine,1
42,STF-727e4277,Connor West,nurse,emergency,0
37,STF-1bc3ecc7,Mark Perez,nurse,emergency,1
3,STF-b0bc8d3f,Brian Ramirez,nurse,emergency,1
33,STF-55594f66,Mark Perez,nurse,general_medicine,0
25,STF-7510a5e3,Cameron Parker,nursing_assistant,surgery,0
48,STF-c696ae9c,Cristian Santos,nurse,emergency,1
36,STF-36140a6a,Carla Gray,nurse,surgery,1
7,STF-b77cdc60,Allison Hill,nurse,emergency,1
24,STF-4740993e,Ashley Waller,nurse,ICU,0
14,STF-5401ad3a,Anna Henderson,nursing_assistant,ICU,1
12,STF-c8ef6bb9,Stephanie Ross,nurse,emergency,1
43,STF-53629610,Shane Henderson,nursing_assistant,emergency,1
24,STF-dfe95bc8,Danny Morgan,nurse,general_medicine,1
28,STF-103c818c,Debra Davidson,doctor,emergency,0
34,STF-e573be71,Crystal Johnson,nurse,ICU,1
3,STF-84efb3e5,Jessica Smith,nurse,ICU,1
27,STF-e983db1d,Larry Dixon,nurse,ICU,0
10,STF-36140a6a,Margaret Hawkins DDS,nursing_assistant,emergency,0
23,STF-8d812ffa,Aimee Montoya,nursing_assistant,general_medicine,1
27,STF-63b9ca1d,Shannon Jones,nurse,surgery,0
26,STF-a2ef0542,Christina Walters,nursing_assistant,ICU,1
40,STF-a493e575,Steve Sanchez,nursing_assistant,ICU,0
29,STF-064febb6,Stephanie Ross,doctor,general_medicine,1
16,STF-7dfe6d32,Gabrielle Davis,nurse,emergency,1
4,STF-5e560b99,Noah Rhodes,nurse,emergency,1
16,STF-8325689b,Jamie Arnold,nurse,emergency,1
41,STF-f5164783,Christopher Bass,nurse,general_medicine,0
25,STF-5697a657,Aaron Wise,nurse,ICU,0
3,STF-ec102fe1,James Brown,nurse,surgery,1
50,STF-a493e575,Daniel Baker,nurse,surgery,0
21,STF-b13eeb99,Zachary Hicks,doctor,surgery,1
19,STF-ddd99f9e,Jeffrey Chandler,nurse,ICU,1
13,STF-63bcaa58,Daniel Baker,nursing_assistant,general_medicine,1
51,STF-55594f66,Amber Kidd,nurse,surgery,1
33,STF-f398593d,Nathan Maldonado,nurse,emergency,0
11,STF-197d1927,Steve Sanchez,nurse,general_medicine,0
42,STF-4f1df27e,Lauren Daniels,nurse,ICU,0
3,STF-6a7114cb,April Frost,nursing_assistant,ICU,1
35,STF-2e0dd6e9,Daniel Wagner,doctor,emergency,0
22,STF-997af03e,Deborah Figueroa,nurse,ICU,1
30,STF-8c3d09d0,Mike Allen,nurse,surgery,0
33,STF-372284b1,James Ferrell,nurse,emergency,0
43,STF-9fdbaf6f,Philip Cannon,nurse,surgery,1
45,STF-935c51f3,Christopher Bass,nurse,surgery,0
15,STF-1bc3ecc7,Sherry Decker,nurse,surgery,1
31,STF-197d1927,Angela Lopez,nursing_assistant,surgery,0
28,STF-4daae752,Jeffrey Chandler,nurse,ICU,1
23,STF-372284b1,Debra Davidson,nurse,emergency,1
29,STF-f5164783,Christopher Bass,doctor,ICU,1
24,STF-9da1bed5,Michelle Harmon,nursing_assistant,ICU,1
10,STF-5401ad3a,Brian Rodriguez,nurse,general_medicine,1
9,STF-188cd855,Sierra Johnson,doctor,general_medicine,1
50,STF-2dcdd6fb,Cassandra Gaines,nurse,general_medicine,1
36,STF-5697a657,John Whitehead,nurse,ICU,1
45,STF-55594f66,Victoria Garcia,nurse,surgery,1
11,STF-ada6b167,Brittany Farmer,nurse,general_medicine,1
41,STF-5157d809,Brittney Phillips,nursing_assistant,surgery,0
4,STF-206b10dc,Elizabeth Fowler,nurse,surgery,1
46,STF-4daae752,Jeffrey Chandler,nursing_assistant,general_medicine,1
14,STF-2c8eaa98,Derek Zuniga,nurse,emergency,0
40,STF-abfdc900,Diana May,nurse,general_medicine,1
25,STF-5401ad3a,Christina Walters,nursing_assistant,general_medicine,1
19,STF-5697a657,Aaron Wise,nurse,general_medicine,1
41,STF-ec102fe1,Donald Wright,nursing_assistant,emergency,0
5,STF-dfe95bc8,Mark Perez,nurse,emergency,1
47,STF-c696ae9c,Daniel Wagner,nurse,emergency,0
18,STF-2c8eaa98,Patty Perez,doctor,emergency,1
26,STF-b0bc8d3f,Carla Gray,doctor,emergency,0
16,STF-ac9813b7,Jamie Arnold,doctor,emergency,1
19,STF-2dfd271e,Sarah Moore,nurse,general_medicine,0
45,STF-4daae752,Jeffrey Chandler,nurse,ICU,0
28,STF-63b9ca1d,Timothy Duncan,doctor,surgery,1
19,STF-e15cfd51,Lisa Hensley,nurse,emergency,1
25,STF-dfe95bc8,Fred Smith,nurse,general_medicine,1
1,STF-25d79742,Tricia Valencia,nurse,emergency,0
26,STF-4e69ee46,Ryan Munoz,nursing_assistant,emergency,1
48,STF-f5164783,Daniel Baker,nursing_assistant,ICU,0
39,STF-322e1cde,James Brown,nurse,surgery,1
31,STF-f5164783,Michael Evans,nursing_assistant,surgery,0
19,STF-669a95d5,Helen Jones,nurse,ICU,1
34,STF-806b98e6,Lisa Jackson,nurse,emergency,1
16,STF-55594f66,Victoria Garcia,nurse,general_medicine,1
32,STF-727e4277,Brent Jordan,nursing_assistant,emergency,0
20,STF-2dcdd6fb,Philip Cannon,doctor,general_medicine,0
30,STF-8b6412dc,Lauren Daniels,nurse,general_medicine,1
26,STF-806b98e6,Carla Gray,nurse,emergency,1
7,STF-997af03e,Sandra Aguilar,nurse,ICU,0
12,STF-e2bbe735,Jessica Callahan,nursing_assistant,emergency,0
44,STF-26466758,Amber Kidd,nurse,general_medicine,1
30,STF-e15cfd51,Michele Williams,nursing_assistant,emergency,1
11,STF-ebbeb197,Jamie Arnold,nurse,emergency,1
42,STF-53629610,Angelica Tucker,nurse,surgery,1
30,STF-95cd7529,Tommy Walter,doctor,general_medicine,1
23,STF-3a9a90fd,Carla Gray,nursing_assistant,emergency,1
22,STF-0f188974,Sarah Moore,nurse,general_medicine,0
15,STF-63b9ca1d,Danny Morgan,nursing_assistant,emergency,1
4,STF-ddd99f9e,Jeffrey Chandler,nurse,ICU,0
22,STF-59afa180,Amber Kidd,nurse,surgery,1
35,STF-b77cdc60,Allison Hill,nurse,emergency,0
45,STF-67d3ac43,Sandra Aguilar,nursing_assistant,ICU,1
23,STF-2122e2a0,Deborah Figueroa,doctor,ICU,0
34,STF-5697a657,Christina Walters,nurse,ICU,1
34,STF-669a95d5,Helen Jones,nurse,ICU,1
17,STF-ec102fe1,James Brown,doctor,general_medicine,0
35,STF-611ad324,Shane Henderson,nurse,surgery,0
25,STF-e2bbe735,Michael Lewis,nurse,surgery,0
9,STF-302eb752,Erin Edwards,nurse,ICU,1
14,STF-ac9813b7,Dylan Miller,doctor,surgery,1
33,STF-551ccae1,Sarah Moore,nurse,surgery,1
3,STF-44cbfc17,Daniel Baker,nurse,ICU,1
27,STF-ebbeb197,Ryan Munoz,nurse,emergency,1
7,STF-ed194945,John Daniel,nurse,general_medicine,0
31,STF-ac9813b7,Lisa Hensley,nurse,emergency,1
31,STF-dfe95bc8,Mark Perez,nurse,surgery,1
3,STF-651ff617,Connor West,nurse,surgery,0
12,STF-b77cdc60,Allison Hill,doctor,emergency,1
31,STF-67d3ac43,Stephen Mckee,doctor,ICU,1
10,STF-cf0f00c3,Rebecca Valencia,nursing_assistant,ICU,1
26,STF-064febb6,Patty Perez,nurse,emergency,1
40,STF-b13eeb99,Justin Baker,nurse,surgery,1
22,STF-d114bde8,Gabrielle Davis,doctor,emergency,1
27,STF-f37c5b51,Eric Carney,nurse,emergency,1
45,STF-f398593d,Anthony Rodriguez,nursing_assistant,emergency,1
44,STF-84efb3e5,John Whitehead,nurse,surgery,1
46,STF-fc210a9e,Anthony Humphrey,doctor,general_medicine,1
10,STF-103c818c,Anthony Rodriguez,nurse,emergency,0
39,STF-5401ad3a,Deborah Figueroa,nurse,ICU,0
24,STF-44cbfc17,Whitney Peters,nurse,general_medicine,0
44,STF-ea97e797,Rebecca Valencia,nurse,ICU,1
32,STF-839e61f9,Philip Cannon,nursing_assistant,surgery,1
17,STF-abfdc900,Garrett Lin,nursing_assistant,ICU,1
42,STF-68c8a79d,Angelica Tucker,nurse,surgery,1
22,STF-5e560b99,Angie Henderson,doctor,emergency,1
6,STF-0f188974,Amy Silva,nurse,general_medicine,0
14,STF-40a56cae,Aimee Montoya,nursing_assistant,surgery,1
52,STF-b00ed3e2,Victor Baker,nursing_assistant,ICU,0
11,STF-d1d59a8b,Patty Perez,doctor,general_medicine,0
5,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
21,STF-a2ef0542,Christina Walters,nurse,ICU,1
7,STF-d114bde8,Connie Lawrence,doctor,emergency,0
38,STF-ddd99f9e,Ashley Waller,doctor,ICU,1
39,STF-dfe95bc8,Jessica Holmes,nursing_assistant,surgery,1
35,STF-4daae752,Kenneth Scott,nurse,ICU,1
37,STF-abfdc900,Garrett Lin,nurse,ICU,0
40,STF-03fbeddc,Brittany Farmer,nursing_assistant,emergency,0
38,STF-2dcdd6fb,Fred Smith,nurse,surgery,0
16,STF-0f188974,Brittney Phillips,doctor,general_medicine,0
14,STF-839e61f9,Brittany Farmer,nurse,general_medicine,0
10,STF-8c3d09d0,Steve Sanchez,nursing_assistant,surgery,1
21,STF-8325689b,Holly Wood,nurse,emergency,1
51,STF-15db5d87,Christine Wright,nursing_assistant,ICU,1
18,STF-e8857831,Brent Jordan,nursing_assistant,general_medicine,0
8,STF-2dfd271e,Steve Sanchez,nurse,ICU,0
42,STF-403052c0,Daniel Wagner,nurse,emergency,1
34,STF-8a885bae,Amy Silva,nursing_assistant,surgery,0
13,STF-b00ed3e2,Larry Dixon,nurse,ICU,0
41,STF-8b6412dc,Brittney Phillips,nurse,surgery,0
8,STF-188cd855,Richard Rodriguez,nursing_assistant,ICU,1
21,STF-6a7114cb,April Frost,nursing_assistant,general_medicine,1
39,STF-97ee23c3,Garrett Lin,nurse,ICU,1
13,STF-e15cfd51,Dylan Miller,nursing_assistant,surgery,0
40,STF-68c8a79d,John Pierce,nurse,surgery,1
51,STF-f37c5b51,Danny Morgan,nurse,emergency,1
45,STF-9fdbaf6f,John Pierce,nurse,general_medicine,0
18,STF-398a99e9,Tricia Valencia,nurse,emergency,1
35,STF-d1d59a8b,Matthew Foster,nurse,emergency,1
41,STF-abfdc900,Ashley Waller,nurse,ICU,1
3,STF-59afa180,Jessica Callahan,nursing_assistant,emergency,1
9,STF-d962d308,Sharon Cochran,nurse,ICU,1
44,STF-611ad324,Michael Lewis,nurse,emergency,1
27,STF-f398593d,Debra Davidson,nurse,surgery,1
43,STF-61961d5b,Evelyn Galvan,nurse,ICU,1
48,STF-e0c7759c,Sarah Moore,nurse,general_medicine,0
4,STF-05591498,Diana May,nurse,general_medicine,1
9,STF-61961d5b,Christine Wright,nurse,ICU,1
43,STF-05591498,William Herrera,nurse,ICU,1
50,STF-bfc199cf,Shannon Jones,nursing_assistant,surgery,1
31,STF-e2bbe735,Carol Tucker,nurse,surgery,0
51,STF-038ff4c9,Lisa Barnes,nursing_assistant,surgery,0
19,STF-f398593d,Nathan Maldonado,nursing_assistant,emergency,1
26,STF-a1420039,Amber Kidd,nursing_assistant,surgery,0
29,STF-84efb3e5,Aimee Montoya,nurse,surgery,1
51,STF-ddd99f9e,Victor Baker,nursing_assistant,ICU,1
29,STF-c8ef6bb9,Debra Davidson,doctor,general_medicine,0
47,STF-651ff617,Richard Aguirre,doctor,ICU,1
50,STF-6a7114cb,April Frost,nurse,ICU,1
3,STF-5697a657,Anna Henderson,nursing_assistant,ICU,1
18,STF-a1420039,Carol Tucker,nursing_assistant,emergency,0
16,STF-dc6ad834,Zachary Ferrell,nurse,surgery,0
27,STF-052894a3,Sharon Cochran,nurse,ICU,0
13,STF-b77cdc60,Allison Hill,doctor,emergency,1
46,STF-6c29c37d,John Daniel,nurse,surgery,1
13,STF-abfdc900,Garrett Lin,nursing_assistant,general_medicine,1
15,STF-e8857831,Mark Perez,nurse,general_medicine,1
2,STF-d3c13ca9,Ryan Munoz,doctor,emergency,1
32,STF-103c818c,Elizabeth Fowler,nurse,surgery,1
11,STF-038ff4c9,Mike Allen,nurse,general_medicine,1
26,STF-23a8d4c5,Carla Gray,nursing_assistant,surgery,1
15,STF-abfdc900,Julia Torres,nurse,ICU,1
51,STF-44cbfc17,Steve Sanchez,nursing_assistant,surgery,1
24,STF-67d3ac43,Cameron Parker,doctor,ICU,1
29,STF-e8857831,Victoria Garcia,nurse,ICU,0
35,STF-25d79742,Cassandra Gaines,doctor,general_medicine,0
43,STF-fc210a9e,Mark Perez,doctor,emergency,1
24,STF-68c8a79d,Anthony Humphrey,nurse,emergency,1
36,STF-ac9813b7,Dylan Miller,nursing_assistant,emergency,0
5,STF-806b98e6,Michele Williams,nurse,emergency,1
25,STF-ec102fe1,Jordan Henderson,doctor,emergency,1
34,STF-a493e575,Shirley Suarez,nurse,general_medicine,1
37,STF-bea9d5c9,Connie Lawrence,nurse,emergency,1
47,STF-e8857831,Shannon Jones,doctor,surgery,0
42,STF-5401ad3a,Christina Walters,nurse,general_medicine,0
48,STF-8325689b,Lisa Jackson,nurse,emergency,0
1,STF-d3c13ca9,Ryan Munoz,nurse,emergency,1
18,STF-36140a6a,Carla Gray,nurse,emergency,0
3,STF-ac9813b7,Monica Herrera,doctor,emergency,0
33,STF-4b388ef9,Jessica Holmes,nurse,general_medicine,1
45,STF-3a9a90fd,Patty Perez,nurse,surgery,1
31,STF-44cbfc17,Amy Silva,doctor,general_medicine,0
45,STF-e9bd9766,Christine Wright,nursing_assistant,surgery,0
21,STF-59afa180,Gerald Hensley,nursing_assistant,emergency,1
44,STF-a373df11,Lisa Hensley,nurse,emergency,1
13,STF-e2bbe735,John Daniel,doctor,ICU,0
40,STF-9da1bed5,Michelle Harmon,nursing_assistant,ICU,1
3,STF-b77cdc60,Allison Hill,nurse,emergency,1
30,STF-53629610,Crystal Robinson,nursing_assistant,surgery,0
16,STF-e0c7759c,Amy Silva,nurse,general_medicine,0
41,STF-403052c0,Daniel Wagner,doctor,emergency,1
40,STF-8a42f5e7,Mike Allen,nursing_assistant,emergency,1
7,STF-61a51c45,Michael Evans,nursing_assistant,surgery,1
34,STF-7dfe6d32,Abigail Shaffer,nurse,emergency,1
23,STF-038ff4c9,Michael Evans,nursing_assistant,general_medicine,0
3,STF-53629610,Joshua Blair,nursing_assistant,emergency,1
26,STF-322e1cde,Whitney Peters,nurse,ICU,1
17,STF-727e4277,John Daniel,nurse,emergency,0
27,STF-25d79742,Sherry Decker,nurse,surgery,0
3,STF-9fdbaf6f,Cassandra Gaines,nurse,surgery,1
42,STF-8a4df0f8,Anthony Rodriguez,nurse,emergency,1
44,STF-ed194945,Carol Tucker,nurse,surgery,0
28,STF-3a9a90fd,Patty Perez,nursing_assistant,emergency,1
33,STF-d1d59a8b,Rebecca Henderson,nurse,emergency,1
28,STF-064febb6,Justin Baker,nurse,emergency,1
51,STF-d114bde8,Gina Moore,nurse,emergency,1
27,STF-dfe95bc8,Joshua Blair,nurse,surgery,1
36,STF-e2bbe735,John Daniel,nurse,general_medicine,1
31,STF-cf9225db,Richard Rodriguez,nursing_assistant,ICU,1
23,STF-40a56cae,Matthew Mcmillan,nursing_assistant,emergency,1
6,STF-26466758,Megan Young,nurse,surgery,0
19,STF-197d1927,Daniel Baker,nursing_assistant,emergency,1
23,STF-9fdbaf6f,Angelica Tucker,nurse,emergency,1
20,STF-f37035ac,Lisa Hensley,doctor,surgery,0
34,STF-8d812ffa,Brian Rodriguez,nursing_assistant,ICU,1
26,STF-c8ef6bb9,Cassandra Gaines,nurse,surgery,1
26,STF-e15cfd51,Lisa Hensley,nurse,emergency,1
20,STF-5e560b99,Noah Rhodes,doctor,emergency,0
16,STF-103c818c,Stephanie Ross,nurse,emergency,0
18,STF-05591498,Julia Torres,nurse,ICU,1
7,STF-44cbfc17,Kelly Donovan,nurse,ICU,0
5,STF-302eb752,Erin Edwards,nursing_assistant,ICU,1
42,STF-8a4df0f8,Tommy Walter,nurse,emergency,1
17,STF-398a99e9,Justin Baker,nurse,surgery,1
6,STF-997af03e,Anna Henderson,nurse,general_medicine,1
8,STF-4e69ee46,Ryan Munoz,doctor,emergency,0
28,STF-dfe95bc8,Joshua Blair,nurse,general_medicine,1
39,STF-403052c0,Cristian Santos,nurse,emergency,1
43,STF-651ff617,Timothy Duncan,nursing_assistant,emergency,1
49,STF-1bc3ecc7,Danny Morgan,nursing_assistant,emergency,0
5,STF-e15cfd51,Dylan Miller,doctor,emergency,0
19,STF-322e1cde,Brittney Phillips,nurse,general_medicine,1
7,STF-68c8a79d,Brittany Farmer,nurse,surgery,1
15,STF-a373df11,Michele Williams,doctor,surgery,0
11,STF-b0bc8d3f,Jamie Arnold,nurse,emergency,1
12,STF-63bcaa58,Shirley Suarez,nurse,ICU,0
51,STF-a4c9b3f0,Elizabeth Fowler,doctor,emergency,1
16,STF-ed194945,Victoria Garcia,doctor,surgery,0
7,STF-ed194945,Victoria Garcia,nurse,ICU,0
18,STF-551ccae1,Amy Silva,doctor,surgery,1
23,STF-ac9813b7,Holly Wood,nurse,emergency,1
44,STF-abfdc900,Ashley Waller,nursing_assistant,general_medicine,1
23,STF-f37c5b51,Mark Perez,nurse,emergency,1
40,STF-ada6b167,Sherri Baker,nursing_assistant,emergency,1
13,STF-40a56cae,Anna Henderson,nurse,general_medicine,0
23,STF-103c818c,Matthew Foster,nurse,emergency,1
36,STF-f37035ac,Jamie Arnold,doctor,emergency,1
51,STF-651ff617,Donald Wright,nurse,ICU,1
22,STF-cf0f00c3,Jessica Smith,nurse,surgery,0
17,STF-63bcaa58,Mike Allen,nurse,general_medicine,1
48,STF-ada6b167,Jeffrey Chavez,doctor,surgery,1
